Table,Year,Variable,Value
Age Group,1988,65-85 Years,7275
Age Group,1988,More than 85 Years,491
Age Group,1988,Not Specified,18271
Age Group,1989,0-1 Month,285
Age Group,1989,2 Months-2 Years,2124
Age Group,1989,3-11 Years,1793
Age Group,1989,12-17 Years,1148
Age Group,1989,18-64 Years,24641
Age Group,1989,65-85 Years,8427
Age Group,1989,More than 85 Years,627
Age Group,1989,Not Specified,21637
Age Group,1990,0-1 Month,241
Age Group,1990,2 Months-2 Years,1704
Age Group,1990,3-11 Years,1913
Age Group,1990,12-17 Years,1484
Age Group,1990,18-64 Years,30810
Age Group,1990,65-85 Years,9739
Age Group,1990,More than 85 Years,616
Age Group,1990,Not Specified,28694
Age Group,1991,0-1 Month,242
Age Group,1991,2 Months-2 Years,1007
Age Group,1991,3-11 Years,2136
Age Group,1991,12-17 Years,1548
Age Group,1991,18-64 Years,31242
Age Group,1991,65-85 Years,10369
Age Group,1991,More than 85 Years,691
Age Group,1991,Not Specified,28055
Age Group,1992,0-1 Month,208
Age Group,1992,2 Months-2 Years,1101
Age Group,1992,3-11 Years,2246
Age Group,1992,12-17 Years,2041
Age Group,1992,18-64 Years,42460
Age Group,1992,65-85 Years,15145
Age Group,1992,More than 85 Years,1037
Age Group,1992,Not Specified,41716
Age Group,1993,0-1 Month,278
Age Group,1993,2 Months-2 Years,1144
Age Group,1993,3-11 Years,2500
Age Group,1993,12-17 Years,2421
Age Group,1993,18-64 Years,52494
Age Group,1993,65-85 Years,20324
Age Group,1993,More than 85 Years,1328
Age Group,1993,Not Specified,43709
Age Group,1994,0-1 Month,345
Age Group,1994,2 Months-2 Years,1775
Age Group,1994,3-11 Years,3866
Age Group,1994,12-17 Years,2948
Age Group,1994,18-64 Years,56393
Age Group,1994,65-85 Years,23082
Age Group,1994,More than 85 Years,1537
Age Group,1994,Not Specified,39176
Age Group,1995,0-1 Month,386
Age Group,1995,2 Months-2 Years,1169
Age Group,1995,3-11 Years,3609
Age Group,1995,12-17 Years,3403
Age Group,1995,18-64 Years,67021
Age Group,1995,65-85 Years,24362
Age Group,1995,More than 85 Years,1703
Age Group,1995,Not Specified,40014
Age Group,1996,0-1 Month,446
Age Group,1996,2 Months-2 Years,1625
Age Group,1996,3-11 Years,4534
Age Group,1996,12-17 Years,3540
Age Group,1996,18-64 Years,76983
Age Group,1996,65-85 Years,32401
Age Group,1996,More than 85 Years,2145
Age Group,1996,Not Specified,50530
Age Group,1997,0-1 Month,704
Age Group,1997,2 Months-2 Years,1825
Age Group,1997,3-11 Years,4791
Age Group,1997,12-17 Years,3701
Age Group,1997,18-64 Years,94179
Age Group,1997,65-85 Years,39146
Age Group,1997,More than 85 Years,2547
Age Group,1997,Not Specified,51341
Age Group,1998,0-1 Month,1210
Age Group,1998,2 Months-2 Years,1565
Age Group,1998,3-11 Years,3389
Age Group,1998,12-17 Years,3417
Age Group,1998,18-64 Years,76221
Age Group,1998,65-85 Years,34936
Age Group,1998,More than 85 Years,2544
Age Group,1998,Not Specified,36608
Age Group,1999,0-1 Month,1475
Age Group,1999,2 Months-2 Years,2297
Age Group,1999,3-11 Years,3826
Age Group,1999,12-17 Years,3691
Age Group,1999,18-64 Years,106172
Age Group,1999,65-85 Years,50510
Age Group,1999,More than 85 Years,3601
Age Group,1999,Not Specified,52791
Age Group,2000,0-1 Month,1622
Age Group,2000,2 Months-2 Years,2044
Age Group,2000,3-11 Years,3530
Age Group,2000,12-17 Years,3603
Age Group,2000,18-64 Years,90885
Age Group,2000,65-85 Years,49451
Age Group,2000,More than 85 Years,3827
Age Group,2000,Not Specified,44837
Age Group,2001,0-1 Month,2347
Age Group,2001,2 Months-2 Years,1883
Age Group,2001,3-11 Years,4158
Age Group,2001,12-17 Years,4397
Age Group,2001,18-64 Years,91906
Age Group,2001,65-85 Years,49665
Age Group,2001,More than 85 Years,4059
Age Group,2001,Not Specified,44793
Age Group,2002,0-1 Month,2123
Age Group,2002,2 Months-2 Years,1576
Age Group,2002,3-11 Years,3237
Age Group,2002,12-17 Years,3586
Age Group,2002,18-64 Years,86527
Age Group,2002,65-85 Years,44580
Age Group,2002,More than 85 Years,3696
Age Group,2002,Not Specified,39554
Age Group,2003,0-1 Month,1961
Age Group,2003,2 Months-2 Years,1771
Age Group,2003,3-11 Years,5042
Age Group,2003,12-17 Years,5267
Age Group,2003,18-64 Years,103025
Age Group,2003,65-85 Years,50279
Age Group,2003,More than 85 Years,4202
Age Group,2003,Not Specified,53687
Age Group,2004,0-1 Month,1825
Age Group,2004,2 Months-2 Years,1968
Age Group,2004,3-11 Years,6264
Age Group,2004,12-17 Years,6411
Age Group,2004,18-64 Years,124501
Age Group,2004,65-85 Years,65620
Age Group,2004,More than 85 Years,5362
Age Group,2004,Not Specified,60880
Age Group,2005,0-1 Month,1888
Age Group,2005,2 Months-2 Years,2007
Age Group,2005,3-11 Years,5985
Age Group,2005,12-17 Years,6308
Age Group,2005,18-64 Years,144271
Age Group,2005,65-85 Years,73370
Age Group,2005,More than 85 Years,5421
Age Group,2005,Not Specified,82629
Age Group,2006,0-1 Month,2266
Age Group,2006,2 Months-2 Years,2236
Age Group,2006,3-11 Years,4837
Age Group,2006,12-17 Years,6161
Age Group,2006,18-64 Years,158636
Age Group,2006,65-85 Years,78529
Age Group,2006,More than 85 Years,5844
Age Group,2006,Not Specified,77161
Age Group,2007,0-1 Month,2766
Age Group,2007,2 Months-2 Years,2518
Age Group,2007,3-11 Years,6273
Age Group,2007,12-17 Years,6922
Age Group,2007,18-64 Years,171535
Age Group,2007,65-85 Years,78461
Age Group,2007,More than 85 Years,5856
Age Group,2007,Not Specified,88994
Age Group,2008,0-1 Month,4639
Age Group,2008,2 Months-2 Years,2848
Age Group,2008,3-11 Years,7620
Age Group,2008,12-17 Years,7742
Age Group,2008,18-64 Years,202023
Age Group,2008,65-85 Years,92509
Age Group,2008,More than 85 Years,7301
Age Group,2008,Not Specified,114989
Age Group,2009,0-1 Month,4543
Age Group,2009,2 Months-2 Years,3109
Age Group,2009,3-11 Years,8525
Age Group,2009,12-17 Years,9024
Age Group,2009,18-64 Years,220204
Age Group,2009,65-85 Years,103034
Age Group,2009,More than 85 Years,8341
Age Group,2009,Not Specified,133628
Age Group,2010,0-1 Month,2951
Age Group,2010,2 Months-2 Years,4432
Age Group,2010,3-11 Years,8210
Age Group,2010,12-17 Years,8842
Age Group,2010,18-64 Years,287195
Age Group,2010,65-85 Years,126823
Age Group,2010,More than 85 Years,10400
Age Group,2010,Not Specified,223787
Age Group,2011,0-1 Month,3855
Age Group,2011,2 Months-2 Years,4092
Age Group,2011,3-11 Years,9809
Age Group,2011,12-17 Years,12833
Age Group,2011,18-64 Years,343192
Age Group,2011,65-85 Years,152836
Age Group,2011,More than 85 Years,14252
Age Group,2011,Not Specified,240758
Age Group,2012,0-1 Month,4222
Age Group,2012,2 Months-2 Years,3980
Age Group,2012,3-11 Years,11224
Age Group,2012,12-17 Years,12671
Age Group,2012,18-64 Years,379152
Age Group,2012,65-85 Years,172129
Age Group,2012,More than 85 Years,16119
Age Group,2012,Not Specified,330682
Age Group,2013,0-1 Month,2364
Age Group,2013,2 Months-2 Years,4776
Age Group,2013,3-11 Years,11479
Age Group,2013,12-17 Years,12811
Age Group,2013,18-64 Years,398877
Age Group,2013,65-85 Years,186877
Age Group,2013,More than 85 Years,18627
Age Group,2013,Not Specified,432782
Age Group,2014,0-1 Month,2891
Age Group,2014,2 Months-2 Years,4949
Age Group,2014,3-11 Years,12735
Age Group,2014,12-17 Years,14115
Age Group,2014,18-64 Years,440092
Age Group,2014,65-85 Years,234611
Age Group,2014,More than 85 Years,23129
Age Group,2014,Not Specified,465911
Age Group,2015,0-1 Month,3343
Age Group,2015,2 Months-2 Years,6347
Age Group,2015,3-11 Years,17693
Age Group,2015,12-17 Years,19941
Age Group,2015,18-64 Years,591307
Age Group,2015,65-85 Years,350321
Age Group,2015,More than 85 Years,32553
Age Group,2015,Not Specified,698286
Age Group,2016,0-1 Month,3188
Age Group,2016,2 Months-2 Years,7277
Age Group,2016,3-11 Years,17921
Age Group,2016,12-17 Years,21390
Age Group,2016,18-64 Years,570597
Age Group,2016,65-85 Years,355970
Age Group,2016,More than 85 Years,33017
Age Group,2016,Not Specified,674013
Age Group,2017,0-1 Month,2962
Age Group,2017,2 Months-2 Years,7664
Age Group,2017,3-11 Years,20759
Age Group,2017,12-17 Years,23198
Age Group,2017,18-64 Years,566910
Age Group,2017,65-85 Years,393544
Age Group,2017,More than 85 Years,36850
Age Group,2017,Not Specified,753123
Age Group,2018,0-1 Month,3566
Age Group,2018,2 Months-2 Years,9544
Age Group,2018,3-11 Years,23590
Age Group,2018,12-17 Years,33827
Age Group,2018,18-64 Years,688679
Age Group,2018,65-85 Years,473388
Age Group,2018,More than 85 Years,41702
Age Group,2018,Not Specified,865853
Age Group,2019,0-1 Month,4145
Age Group,2019,2 Months-2 Years,9445
Age Group,2019,3-11 Years,23365
Age Group,2019,12-17 Years,42186
Age Group,2019,18-64 Years,702337
Age Group,2019,65-85 Years,445080
Age Group,2019,More than 85 Years,38952
Age Group,2019,Not Specified,909774
Age Group,2020,0-1 Month,3867
Age Group,2020,2 Months-2 Years,9755
Age Group,2020,3-11 Years,21192
Age Group,2020,12-17 Years,40427
Age Group,2020,18-64 Years,687011
Age Group,2020,65-85 Years,442304
Age Group,2020,More than 85 Years,38877
Age Group,2020,Not Specified,959381
Age Group,2021,0-1 Month,3144
Age Group,2021,2 Months-2 Years,8903
Age Group,2021,3-11 Years,22578
Age Group,2021,12-17 Years,32113
Age Group,2021,18-64 Years,730806
Age Group,2021,65-85 Years,457755
Age Group,2021,More than 85 Years,37045
Age Group,2021,Not Specified,1036246
Age Group,2022,0-1 Month,3178
Age Group,2022,2 Months-2 Years,9801
Age Group,2022,3-11 Years,25826
Age Group,2022,12-17 Years,29890
Age Group,2022,18-64 Years,769089
Age Group,2022,65-85 Years,486388
Age Group,2022,More than 85 Years,41010
Age Group,2022,Not Specified,971917
Age Group,2023,0-1 Month,2846
Age Group,2023,2 Months-2 Years,10164
Age Group,2023,3-11 Years,29486
Age Group,2023,12-17 Years,31085
Age Group,2023,18-64 Years,642576
Age Group,2023,65-85 Years,455531
Age Group,2023,More than 85 Years,40282
Age Group,2023,Not Specified,942485
Age Group,2024,0-1 Month,2752
Age Group,2024,2 Months-2 Years,12018
Age Group,2024,3-11 Years,35776
Age Group,2024,12-17 Years,34713
Age Group,2024,18-64 Years,658444
Age Group,2024,65-85 Years,470425
Age Group,2024,More than 85 Years,40369
Age Group,2024,Not Specified,787332
Seriousness,1968,Serious,61
Seriousness,1968,Death,8
Seriousness,1968,Non-Serious,38
Seriousness,1969,Serious,3396
Seriousness,1969,Death,361
Seriousness,1969,Non-Serious,1676
Seriousness,1970,Serious,11002
Seriousness,1970,Death,1015
Seriousness,1970,Non-Serious,5930
Seriousness,1971,Serious,8905
Seriousness,1971,Death,697
Seriousness,1971,Non-Serious,3554
Seriousness,1972,Serious,6479
Seriousness,1972,Death,499
Seriousness,1972,Non-Serious,2659
Seriousness,1973,Serious,6430
Seriousness,1973,Death,836
Seriousness,1973,Non-Serious,4111
Seriousness,1974,Serious,4500
Seriousness,1974,Death,916
Seriousness,1974,Non-Serious,3837
Seriousness,1975,Serious,4979
Seriousness,1975,Death,1103
Seriousness,1975,Non-Serious,4533
Seriousness,1976,Serious,4218
Seriousness,1976,Death,667
Seriousness,1976,Non-Serious,5936
Seriousness,1977,Serious,5860
Seriousness,1977,Death,951
Seriousness,1977,Non-Serious,6930
Seriousness,1978,Serious,4044
Seriousness,1978,Death,574
Seriousness,1978,Non-Serious,4817
Seriousness,1979,Serious,3750
Seriousness,1979,Death,340
Seriousness,1979,Non-Serious,4153
Seriousness,1980,Serious,5243
Seriousness,1980,Death,1073
Seriousness,1980,Non-Serious,6596
Seriousness,1981,Serious,5985
Seriousness,1981,Death,1284
Seriousness,1981,Non-Serious,7231
Seriousness,1982,Serious,9851
Seriousness,1982,Death,1887
Seriousness,1982,Non-Serious,11967
Seriousness,1983,Serious,14886
Seriousness,1983,Death,2219
Seriousness,1983,Non-Serious,14916
Seriousness,1984,Serious,15887
Seriousness,1984,Death,2556
Seriousness,1984,Non-Serious,14180
Seriousness,1985,Serious,18259
Seriousness,1985,Death,4079
Seriousness,1985,Non-Serious,16461
Seriousness,1986,Serious,37178
Seriousness,1986,Death,6492
Seriousness,1986,Non-Serious,12258
Seriousness,1987,Serious,40915
Seriousness,1987,Death,4883
Seriousness,1987,Non-Serious,8961
Seriousness,1988,Serious,40174
Seriousness,1988,Death,3263
Seriousness,1988,Non-Serious,7701
Seriousness,1989,Serious,46548
Seriousness,1989,Death,3540
Seriousness,1989,Non-Serious,10594
Seriousness,1990,Serious,56694
Seriousness,1990,Death,3959
Seriousness,1990,Non-Serious,14548
Seriousness,1991,Serious,56321
Seriousness,1991,Death,4459
Seriousness,1991,Non-Serious,14510
Seriousness,1992,Serious,83838
Seriousness,1992,Death,5918
Seriousness,1992,Non-Serious,16198
Seriousness,1993,Serious,102517
Seriousness,1993,Death,6580
Seriousness,1993,Non-Serious,15101
Seriousness,1994,Serious,78730
Seriousness,1994,Death,7939
Seriousness,1994,Non-Serious,42453
Seriousness,1995,Serious,76539
Seriousness,1995,Death,7140
Seriousness,1995,Non-Serious,57988
Seriousness,1996,Serious,84156
Seriousness,1996,Death,8184
Seriousness,1996,Non-Serious,79864
Seriousness,1997,Serious,90548
Seriousness,1997,Death,10125
Seriousness,1997,Non-Serious,97561
Seriousness,1998,Serious,138890
Seriousness,1998,Death,15933
Seriousness,1998,Non-Serious,5067
Seriousness,1999,Serious,143143
Seriousness,1999,Death,17255
Seriousness,1999,Non-Serious,63965
Seriousness,2000,Serious,140796
Seriousness,2000,Death,19348
Seriousness,2000,Non-Serious,39655
Seriousness,2001,Serious,147755
Seriousness,2001,Death,23796
Seriousness,2001,Non-Serious,31657
Seriousness,2002,Serious,135581
Seriousness,2002,Death,27954
Seriousness,2002,Non-Serious,21344
Seriousness,2003,Serious,147814
Seriousness,2003,Death,34965
Seriousness,2003,Non-Serious,42455
Seriousness,2004,Serious,170577
Seriousness,2004,Death,34769
Seriousness,2004,Non-Serious,67485
Seriousness,2005,Serious,220070
Seriousness,2005,Death,40117
Seriousness,2005,Non-Serious,61692
Seriousness,2006,Serious,230675
Seriousness,2006,Death,37489
Seriousness,2006,Non-Serious,67506
Seriousness,2007,Serious,237186
Seriousness,2007,Death,37117
Seriousness,2007,Non-Serious,89022
Seriousness,2008,Serious,271087
Seriousness,2008,Death,50293
Seriousness,2008,Non-Serious,118291
Seriousness,2009,Serious,312107
Seriousness,2009,Death,64436
Seriousness,2009,Non-Serious,113865
Seriousness,2010,Serious,389776
Seriousness,2010,Death,83482
Seriousness,2010,Non-Serious,199382
Seriousness,2011,Serious,474241
Seriousness,2011,Death,99290
Seriousness,2011,Non-Serious,208096
Seriousness,2012,Serious,536999
Seriousness,2012,Death,117396
Seriousness,2012,Non-Serious,275784
Seriousness,2013,Serious,587142
Seriousness,2013,Death,116437
Seriousness,2013,Non-Serious,365014
Seriousness,2014,Serious,678960
Seriousness,2014,Death,124059
Seriousness,2014,Non-Serious,395414
Seriousness,2015,Serious,799884
Seriousness,2015,Death,147883
Seriousness,2015,Non-Serious,772024
Seriousness,2016,Serious,825736
Seriousness,2016,Death,141827
Seriousness,2016,Non-Serious,715810
Seriousness,2017,Serious,898582
Seriousness,2017,Death,163210
Seriousness,2017,Non-Serious,743218
Seriousness,2018,Serious,1097219
Seriousness,2018,Death,195354
Seriousness,2018,Non-Serious,847576
Seriousness,2019,Serious,1148749
Seriousness,2019,Death,172094
Seriousness,2019,Non-Serious,854441
Seriousness,2020,Serious,1176790
Seriousness,2020,Death,192769
Seriousness,2020,Non-Serious,833255
Seriousness,2021,Serious,1367820
Seriousness,2021,Death,186922
Seriousness,2021,Non-Serious,773848
Seriousness,2022,Serious,1256089
Seriousness,2022,Death,173907
Seriousness,2022,Non-Serious,907103
Seriousness,2023,Serious,1135376
Seriousness,2023,Death,162694
Seriousness,2023,Non-Serious,856385
Seriousness,2024,Serious,1067542
Seriousness,2024,Death,148463
Seriousness,2024,Non-Serious,825824
Reporter,1968,Consumer,97
Reporter,1968,Healthcare Professional,10
Reporter,1969,Consumer,3020
Reporter,1969,Healthcare Professional,2413
Reporter,1970,Consumer,10138
Reporter,1970,Healthcare Professional,7809
Reporter,1971,Consumer,8355
Reporter,1971,Healthcare Professional,4801
Reporter,1972,Consumer,7735
Reporter,1972,Healthcare Professional,1902
Reporter,1973,Consumer,7480
Reporter,1973,Healthcare Professional,3897
Reporter,1974,Consumer,7466
Reporter,1974,Healthcare Professional,1787
Reporter,1975,Consumer,9205
Reporter,1975,Healthcare Professional,1410
Reporter,1976,Consumer,7627
Reporter,1976,Healthcare Professional,3194
Reporter,1977,Consumer,10642
Reporter,1977,Healthcare Professional,3099
Reporter,1978,Consumer,7563
Reporter,1978,Healthcare Professional,1872
Reporter,1979,Consumer,6508
Reporter,1979,Healthcare Professional,1735
Reporter,1980,Consumer,10428
Reporter,1980,Healthcare Professional,2484
Reporter,1981,Consumer,12132
Reporter,1981,Healthcare Professional,2368
Reporter,1982,Consumer,19927
Reporter,1982,Healthcare Professional,3778
Reporter,1983,Consumer,27222
Reporter,1983,Healthcare Professional,4799
Reporter,1984,Consumer,27429
Reporter,1984,Healthcare Professional,5192
Reporter,1984,Not Specified,2
Reporter,1985,Consumer,32839
Reporter,1985,Healthcare Professional,5959
Reporter,1985,Not Specified,1
Reporter,1986,Consumer,42052
Reporter,1986,Healthcare Professional,13875
Reporter,1986,Not Specified,1
Reporter,1987,Consumer,39615
Reporter,1987,Healthcare Professional,15144
Reporter,1988,Consumer,42443
Reporter,1988,Healthcare Professional,8695
Reporter,1989,Consumer,50812
Reporter,1989,Healthcare Professional,9870
Reporter,1990,Consumer,63184
Reporter,1990,Healthcare Professional,12014
Reporter,1990,Not Specified,3
Reporter,1991,Consumer,63611
Reporter,1991,Healthcare Professional,11657
Reporter,1991,Not Specified,22
Reporter,1992,Consumer,90796
Reporter,1992,Healthcare Professional,14768
Reporter,1992,Not Specified,390
Reporter,1993,Consumer,105512
Reporter,1993,Healthcare Professional,18343
Reporter,1993,Not Specified,343
Reporter,1994,Consumer,108048
Reporter,1994,Healthcare Professional,20711
Reporter,1994,Not Specified,363
Reporter,1995,Consumer,121072
Reporter,1995,Healthcare Professional,20337
Reporter,1995,Not Specified,258
Reporter,1996,Consumer,151967
Reporter,1996,Healthcare Professional,20116
Reporter,1996,Not Specified,121
Reporter,1997,Consumer,154911
Reporter,1997,Healthcare Professional,33967
Reporter,1997,Not Specified,9356
Reporter,1998,Consumer,23663
Reporter,1998,Healthcare Professional,82149
Reporter,1998,Not Specified,54078
Reporter,1999,Consumer,50043
Reporter,1999,Healthcare Professional,102782
Reporter,1999,Not Specified,71538
Reporter,2000,Consumer,45917
Reporter,2000,Healthcare Professional,97420
Reporter,2000,Not Specified,56462
Reporter,2001,Consumer,38027
Reporter,2001,Healthcare Professional,106644
Reporter,2001,Not Specified,58537
Reporter,2002,Consumer,27647
Reporter,2002,Healthcare Professional,107365
Reporter,2002,Not Specified,49867
Reporter,2003,Consumer,39215
Reporter,2003,Healthcare Professional,126728
Reporter,2003,Not Specified,59291
Reporter,2004,Consumer,61094
Reporter,2004,Healthcare Professional,144780
Reporter,2004,Not Specified,66957
Reporter,2005,Consumer,89294
Reporter,2005,Healthcare Professional,156681
Reporter,2005,Not Specified,75904
Reporter,2006,Consumer,112317
Reporter,2006,Healthcare Professional,166571
Reporter,2006,Not Specified,56782
Reporter,2007,Consumer,146636
Reporter,2007,Healthcare Professional,171927
Reporter,2007,Not Specified,44762
Reporter,2008,Consumer,176219
Reporter,2008,Healthcare Professional,210898
Reporter,2008,Not Specified,52554
Reporter,2009,Consumer,197131
Reporter,2009,Healthcare Professional,239208
Reporter,2009,Not Specified,54069
Reporter,2010,Consumer,308144
Reporter,2010,Healthcare Professional,311373
Reporter,2010,Not Specified,53123
Reporter,2011,Consumer,361641
Reporter,2011,Healthcare Professional,381842
Reporter,2011,Not Specified,38144
Reporter,2012,Consumer,437205
Reporter,2012,Healthcare Professional,466614
Reporter,2012,Not Specified,26360
Reporter,2013,Consumer,500967
Reporter,2013,Healthcare Professional,549697
Reporter,2013,Not Specified,17929
Reporter,2014,Consumer,602225
Reporter,2014,Healthcare Professional,576221
Reporter,2014,Not Specified,19987
Reporter,2015,Consumer,933639
Reporter,2015,Healthcare Professional,772224
Reporter,2015,Not Specified,13928
Reporter,2016,Consumer,843737
Reporter,2016,Healthcare Professional,831690
Reporter,2016,Not Specified,7946
Reporter,2017,Consumer,841445
Reporter,2017,Healthcare Professional,956209
Reporter,2017,Not Specified,7356
Reporter,2018,Consumer,972335
Reporter,2018,Healthcare Professional,1153858
Reporter,2018,Not Specified,13956
Reporter,2019,Consumer,1003427
Reporter,2019,Healthcare Professional,1150162
Reporter,2019,Not Specified,21695
Reporter,2020,Consumer,1123938
Reporter,2020,Healthcare Professional,1055052
Reporter,2020,Not Specified,23824
Reporter,2021,Consumer,1214085
Reporter,2021,Healthcare Professional,1098605
Reporter,2021,Not Specified,15898
Reporter,2021,Other,2
Reporter,2022,Consumer,1100146
Reporter,2022,Healthcare Professional,1218515
Reporter,2022,Not Specified,18436
Reporter,2022,Other,2
Reporter,2023,Consumer,1047059
Reporter,2023,Healthcare Professional,1092125
Reporter,2023,Not Specified,15151
Reporter,2023,Other,120
Reporter,2024,Consumer,925308
Reporter,2024,Healthcare Professional,1104533
Reporter,2024,Not Specified,11905
Reporter,2024,Other,83
